id_ruta,operario,tiempo_estimado,tiempo_original
RUTA_000,1,5.00829126984127,5.00829126984127
RUTA_001,3,14.57455685664238,14.57455685664238
RUTA_002,2,44.4518775793651,44.4518775793651
RUTA_003,2,30.18778584656085,30.18778584656085
RUTA_004,1,14.807788869967183,14.807788869967183
RUTA_005,3,24.17342231804144,24.17342231804144
RUTA_006,2,19.94594540598292,19.94594540598292
RUTA_007,1,20.583403880957007,20.583403880957007
RUTA_008,1,25.014350260132588,25.014350260132588
RUTA_009,2,24.817427541440043,24.817427541440043
RUTA_010,1,9.852183369408364,9.852183369408364
RUTA_011,3,9.28567033429533,9.28567033429533
RUTA_012,3,20.348066754252805,20.348066754252805
RUTA_013,3,8.637622817460322,8.637622817460322
RUTA_014,3,3.0,3.0
RUTA_015,2,28.550193961529235,28.550193961529235
RUTA_016,1,3.7719690716690724,3.7719690716690724
RUTA_017,2,28.791702213486392,28.791702213486392
RUTA_018,1,21.088664639057843,21.088664639057843
RUTA_019,1,3.0,3.0
RUTA_020,3,27.746197225922234,27.746197225922234
RUTA_021,3,26.39910867486601,26.39910867486601
RUTA_022,1,11.41294515993266,11.41294515993266
RUTA_023,3,18.871993891667977,18.871993891667977
RUTA_024,2,6.467829566729568,6.467829566729568
RUTA_025,1,8.207384433621934,8.207384433621934
RUTA_026,1,22.752458619472428,22.752458619472428
RUTA_027,3,24.769293559559568,24.769293559559568
RUTA_028,2,9.65947258297258,9.65947258297258
RUTA_029,3,8.179573101898102,8.179573101898102
RUTA_030,2,9.010838441188438,9.010838441188438
RUTA_031,2,28.206300066535345,28.206300066535345
RUTA_032,2,23.178604361692233,23.178604361692233
RUTA_033,1,3.7149563492063478,3.7149563492063478
RUTA_034,1,13.980467406191305,13.980467406191305
RUTA_035,2,7.461793897306397,7.461793897306397
RUTA_036,2,10.00144259259259,10.00144259259259
RUTA_037,1,22.33612046521698,22.33612046521698
RUTA_038,2,13.01064952501202,13.01064952501202
RUTA_039,1,21.733164384451328,21.733164384451328
RUTA_040,3,12.47875805675805,12.47875805675805
RUTA_041,3,28.94239269341769,28.94239269341769
RUTA_042,3,7.67575116966367,7.67575116966367
RUTA_043,2,11.783766570526891,11.783766570526891
RUTA_044,1,21.13056692893843,21.13056692893843
RUTA_045,3,31.91315218253968,31.91315218253968
RUTA_046,3,27.608224823722598,27.608224823722598
RUTA_047,3,18.369133645283092,18.369133645283092
RUTA_048,1,3.0,3.0
RUTA_049,1,4.395662554112555,4.395662554112555
RUTA_050,2,3.714045304232804,3.714045304232804
RUTA_051,1,19.904986388377964,19.904986388377964
RUTA_052,1,9.495763425925924,9.495763425925924
RUTA_053,1,44.4518775793651,44.4518775793651
RUTA_054,1,3.330946164021164,3.330946164021164
RUTA_055,2,15.494583780081566,15.494583780081566
RUTA_056,2,15.034317748455246,15.034317748455246
RUTA_057,2,5.392625859788358,5.392625859788358
RUTA_058,1,4.8329406778406785,4.8329406778406785
RUTA_059,2,3.0,3.0
RUTA_060,3,26.60290364841098,26.60290364841098
RUTA_061,3,20.237974068198113,20.237974068198113
RUTA_062,2,22.021036757074615,22.021036757074615
RUTA_063,1,10.824109457671955,10.824109457671955
RUTA_064,1,31.57613829365078,31.57613829365078
